term,beta_MLE,beta_Firth,abs_diff
desventaja,-0.290623043468184,-0.290259122945457,0.000363920522726546
hay_menores12,0.181850070576365,0.181916626630469,6.65560541039389e-05
mujer,0.0593247222954782,0.0593084795281859,1.62427672922155e-05
mujer:desventaja,0.304568600290322,0.304342994699762,0.000225605590560507
mujer:hay_menores12,0.364479422289016,0.364328636450853,0.000150785838162859
