model,term,estimate,std_error,p_value,exp_estimate,ci_l,ci_u,sig
gen_count,(Intercept),0.135555475846539,0.0197488948450402,7.03562636653758e-12,1.14517272349856,0.09684764195026,0.174263309742818,***
gen_count,mujer,-0.016647768032011,0.00450645273762497,0.000221576683860891,0.983490040264946,-0.0254804153977559,-0.00781512066626602,***
gen_count,desventaja,-0.017782851119159,0.00541967566326838,0.00103681010176233,0.982374330685191,-0.028405415419165,-0.007160286819153,***
gen_count,hay_menores12,0.0537790941705557,0.00483579278016576,1.37695320702149e-28,1.05525146520518,0.0443009403214308,0.0632572480196806,***
gen_count,edad,0.0122172317956062,0.000549624009208959,2.94326770757129e-107,1.01229216702807,0.0111399687375566,0.0132944948536557,***
gen_count,I(edad^2),-0.000189057154455816,7.03747490094772e-06,2.52918460357008e-154,0.999810960715722,-0.000202850605261674,-0.000175263703649959,***
gen_count,trabaja,0.0577170288992496,0.00480871975978822,5.37320339505066e-33,1.05941516941456,0.0482919381700646,0.0671421196284345,***
gen_count,niv_f1,-0.269870137037172,0.0250337839091413,5.7084301201931e-27,0.763478635496993,-0.318936353499089,-0.220803920575255,***
gen_count,niv_f2,0.320730762214913,0.0182159833842532,1.64732912087526e-68,1.37813448506318,0.285027434781776,0.356434089648049,***
gen_count,niv_f3,0.32096157218122,0.0184076896546065,3.07374762762338e-67,1.37845260894891,0.284882500458191,0.357040643904248,***
gen_count,niv_f4,0.369786141881732,0.0218739033033619,2.30547966372357e-63,1.44742503796681,0.326913291407142,0.412658992356321,***
gen_count,niv_f5,0.377722334852293,0.0509056298134838,1.25153763559054e-13,1.45895778490043,0.277947300417865,0.477497369286721,***
gen_count,niv_f6,0.314482806550023,0.0186404703082176,4.0723401578327e-63,1.3695508050497,0.277947484745916,0.351018128354129,***
gen_count,niv_f7,0.369731786876262,0.0212472472205068,5.5682549255298e-67,1.4473463653091,0.328087182324069,0.411376391428455,***
gen_count,niv_f8,0.359872084734738,0.0188186380736582,2.68307168812218e-80,1.43314608157386,0.322987554110368,0.396756615359108,***
gen_count,niv_f9,0.456934754491936,0.022485246990553,2.94152514836484e-90,1.5792258434955,0.412863670390452,0.50100583859342,***
gen_count,niv_fNo especificado,-3.86997181253368,0.1209576019484,2.0018817369142e-215,0.0208589573780868,-4.10704871235254,-3.63289491271481,***
gen_count,adultos_65mas,-0.0462511436859901,0.00408845741420497,1.61587586507383e-29,0.954802139548287,-0.0542645202178318,-0.0382377671541483,***
gen_count,jefa_mujer,-0.00912322573065328,0.00475840477682362,0.0552257906761566,0.99091826462206,-0.0184496990932276,0.00020324763192101,*
gen_count,ent_f13,0.0213494801596616,0.0200466913102392,0.286903404169315,1.02157901085463,-0.0179420348084073,0.0606409951277304,""
gen_count,ent_f15,-0.134544113828817,0.00487117768478175,9.51470408184039e-163,0.874114317496665,-0.144091622090989,-0.124996605566644,***
gen_count,mujer:desventaja,0.0298650055712839,0.00623401732330309,1.6827631056882e-06,1.03031543772121,0.0176463316176099,0.042083679524958,***
gen_count,mujer:hay_menores12,0.131787489681371,0.00589453316843764,1.8453038218437e-108,1.14086584773948,0.120234204671233,0.143340774691509,***
chain_tour,(Intercept),-3.8788759912466,0.130063018713784,1.90601551559516e-188,0.0206740499399523,-4.13379950792562,-3.62395247456759,***
chain_tour,mujer,0.0593247222954782,0.034458787761206,0.0851658764372184,1.06111975404387,-0.00821450171648555,0.126863946307442,*
chain_tour,desventaja,-0.290623043468184,0.0489829696958252,3.05575748902228e-09,0.747797512051808,-0.386629664072001,-0.194616422864366,***
chain_tour,hay_menores12,0.181850070576365,0.0405893150680335,7.52628246882053e-06,1.19943434989749,0.10229501304302,0.261405128109711,***
chain_tour,edad,0.0140222312630596,0.00365822728415796,0.000127216242184873,1.0141210038787,0.00685210578611005,0.0211923567400092,***
chain_tour,I(edad^2),-0.000130745868288874,4.33531809558917e-05,0.00256824701350576,0.99986926267858,-0.000215718102962422,-4.5773633615326e-05,***
chain_tour,trabaja,0.25192338488352,0.032584479904913,1.15053569228316e-14,1.28649746835556,0.18805780426989,0.315788965497149,***
chain_tour,niv_f1,-0.118933462841539,0.155348610555008,0.443935239058199,0.887866874935564,-0.423416739529355,0.185549813846276,""
chain_tour,niv_f2,0.234511685238929,0.115578916248762,0.0424790075993504,1.26429124589474,0.00797700939135598,0.461046361086502,**
chain_tour,niv_f3,0.294590693666819,0.116904939361537,0.0117514306583344,1.34257672105416,0.0654570125182069,0.523724374815431,**
chain_tour,niv_f4,0.75427306546863,0.133251364298881,1.54447930001183e-08,2.12606545108437,0.493100391442823,1.01544573949444,***
chain_tour,niv_f5,0.463794446948404,0.297928987013559,0.119562013158825,1.59009608774216,-0.120146367598172,1.04773526149498,""
chain_tour,niv_f6,0.515490885175893,0.117401587306997,1.13905493699342e-05,1.67446026780774,0.28538377405418,0.745597996297607,***
chain_tour,niv_f7,0.738157019336514,0.130174116129772,1.45713813560819e-08,2.09207630318749,0.483015751722161,0.993298286950866,***
chain_tour,niv_f8,1.01168512342458,0.11854873793375,1.58817690813881e-17,2.75023159205303,0.779329597074434,1.24404064977473,***
chain_tour,niv_f9,1.52601519476746,0.135265289518118,2.29018724481588e-29,4.59981090373989,1.26089522731195,1.79113516222298,***
chain_tour,niv_fNo especificado,-4.22885313458498,0.643339079489539,5.13020077215529e-11,0.0145690897558833,-5.48979773038448,-2.96790853878548,***
chain_tour,adultos_65mas,-0.212623965417405,0.0291079720986244,2.9595816028104e-13,0.808460089016831,-0.269675590730709,-0.155572340104101,***
chain_tour,jefa_mujer,0.0751329707462444,0.0333925704154832,0.0244679950709927,1.07802748747412,0.00968353273189732,0.140582408760592,**
chain_tour,ent_f13,-0.643730430663733,0.263252589937479,0.0144879415287259,0.525329060588128,-1.15970550694119,-0.127755354386275,**
chain_tour,ent_f15,-0.513550973995666,0.0339130884124369,2.56667163453423e-51,0.598367016099473,-0.580020627284042,-0.447081320707289,***
chain_tour,mujer:desventaja,0.304568600290322,0.0509134266507957,2.26718505396209e-09,1.35603988159346,0.204778284054763,0.404358916525882,***
chain_tour,mujer:hay_menores12,0.364479422289016,0.0450965937924146,6.98362335584706e-16,1.43976430382083,0.276090098455883,0.452868746122149,***
chain_day,(Intercept),-4.41623401517872,0.057850041713071,0,0.0120796384666749,-4.52962009693634,-4.3028479334211,***
chain_day,mujer,0.444741764751891,0.0185553891909493,5.53678624976464e-124,1.56008727428629,0.408373201937631,0.481110327566152,***
chain_day,desventaja,-0.217986631868821,0.0261609113085554,8.79151137486506e-17,0.8041361913928,-0.26926201803359,-0.166711245704053,***
chain_day,hay_menores12,0.101591994225113,0.0243161191021047,2.96253624889598e-05,1.10693174503627,0.0539324007849877,0.149251587665238,***
chain_day,edad,0.143927384452145,0.00189093912738699,0,1.15480024902745,0.140221143762466,0.147633625141823,***
chain_day,I(edad^2),-0.00126287500986671,2.16296920588681e-05,0,0.998737922081201,-0.0013052692063021,-0.00122048081343133,***
chain_day,trabaja,-1.25495846024784,0.0174174819903135,0,0.285087690450495,-1.28909672494886,-1.22082019554683,***
chain_day,niv_f1,-0.0863297001417001,0.0868280944355387,0.320116817312179,0.917291750138862,-0.256512765235356,0.0838533649519558,""
chain_day,niv_f2,0.320947192997357,0.0426513228388715,5.66119675867662e-14,1.3784327880679,0.237350600233169,0.404543785761545,***
chain_day,niv_f3,0.559578691836017,0.0438032959774323,4.00578242239695e-37,1.74993508303013,0.47372423172025,0.645433151951785,***
chain_day,niv_f4,0.543722845502354,0.0564682568392857,7.27788481576849e-22,1.72240719695034,0.433045062097353,0.654400628907354,***
chain_day,niv_f5,0.361585948499048,0.139861049384648,0.00974073876383589,1.43560440472578,0.0874582917051386,0.635713605292958,***
chain_day,niv_f6,0.548936449365395,0.0448672339363077,3.27822288163274e-34,1.73141059544875,0.460996670850232,0.636876227880558,***
chain_day,niv_f7,0.569690852116124,0.0556424446321087,1.69105075130186e-24,1.76772047990673,0.460631660637191,0.678750043595057,***
chain_day,niv_f8,0.30433529527976,0.0458047044752716,3.18370288635397e-11,1.35572354759715,0.214558074508227,0.394112516051292,***
chain_day,niv_f9,0.471029569349457,0.0696619857654539,1.4290803736914e-11,1.60164234649647,0.334492077249167,0.607567061449746,***
chain_day,niv_fNo especificado,-2.51315718309893,0.205875944403691,4.58065829565318e-34,0.0810120651365483,-2.91667403413016,-2.10964033206769,***
chain_day,adultos_65mas,-0.0151524197197555,0.0135308257586601,0.262802993357516,0.984961800559667,-0.0416728382067294,0.0113679987672184,""
chain_day,jefa_mujer,-0.0757697975081544,0.0176866100409602,1.85008811327018e-05,0.927029586518972,-0.110435553188436,-0.0411040418278724,***
chain_day,ent_f13,-0.0394343385181622,0.110331293820791,0.720785684916439,0.961333074472493,-0.255683674406913,0.176814997370589,""
