id_soc,tour_id,n_trips_tour,n_nonhome,n_nonmandatory,n_care,time_tour_min,tour_chain,paradas_intermedias_tour
230,1,2,1,0,0,30,0,0
232,1,2,1,0,0,66,0,0
233,1,2,1,1,0,22,0,0
234,1,2,1,0,0,75,0,0
235,1,2,1,0,0,20,0,0
236,1,2,1,1,0,60,0,0
237,1,1,0,0,0,110,0,0
238,1,2,1,0,0,96,0,0
239,1,2,1,0,0,141,0,0
240,1,2,1,0,0,170,0,0
241,1,2,1,0,0,102,0,0
242,1,2,1,0,0,102,0,0
247,1,2,1,0,0,135,0,0
249,1,2,1,0,0,107,0,0
250,1,2,1,0,0,122,0,0
251,1,2,1,0,0,105,0,0
252,1,2,1,1,1,45,0,0
252,2,2,1,1,1,45,0,0
253,1,2,1,0,0,35,0,0
254,1,2,1,0,0,35,0,0
255,1,2,1,0,0,35,0,0
257,1,2,1,1,0,60,0,0
258,1,2,1,0,0,99,0,0
260,1,2,1,0,0,55,0,0
263,1,2,1,0,0,35,0,0
264,1,2,1,0,0,210,0,0
265,1,2,1,0,0,65,0,0
266,1,2,1,0,0,65,0,0
267,1,2,1,0,0,55,0,0
268,1,2,1,0,0,55,0,0
270,1,2,1,0,0,75,0,0
272,1,2,1,0,0,65,0,0
273,1,2,1,0,0,85,0,0
274,1,2,1,0,0,95,0,0
275,1,2,1,0,0,110,0,0
276,1,2,1,0,0,120,0,0
277,1,2,1,0,0,150,0,0
280,1,1,1,0,0,20,0,0
281,1,2,1,0,0,120,0,0
282,1,2,1,0,0,120,0,0
284,1,2,1,0,0,95,0,0
286,1,2,1,0,0,30,0,0
288,1,2,1,0,0,45,0,0
289,1,2,1,0,0,45,0,0
290,1,2,1,0,0,20,0,0
291,1,2,1,0,0,25,0,0
292,1,2,1,0,0,115,0,0
293,1,2,1,1,0,120,0,0
294,1,2,1,0,0,60,0,0
299,1,2,1,1,0,120,0,0
300,1,2,1,1,1,85,0,0
302,1,3,2,0,0,215,1,1
303,1,2,1,0,0,40,0,0
304,1,2,1,1,0,50,0,0
305,1,3,2,1,0,100,1,1
306,1,2,1,0,0,110,0,0
307,1,2,1,1,0,130,0,0
308,1,2,1,0,0,60,0,0
309,1,2,1,0,0,45,0,0
309,2,2,1,0,0,20,0,0
310,1,2,1,0,0,50,0,0
311,1,2,1,0,0,20,0,0
315,1,2,1,0,0,80,0,0
316,1,2,1,1,0,75,0,0
317,1,2,1,1,1,30,0,0
317,2,2,1,0,0,40,0,0
318,1,2,1,0,0,30,0,0
320,1,2,1,1,1,180,0,0
322,1,2,1,0,0,170,0,0
324,1,2,1,0,0,115,0,0
325,1,2,1,0,0,100,0,0
326,1,2,2,0,0,75,1,1
327,1,2,1,0,0,40,0,0
328,1,2,1,0,0,20,0,0
329,1,2,1,0,0,100,0,0
330,1,2,1,0,0,60,0,0
332,1,2,1,0,0,150,0,0
334,1,2,1,1,0,60,0,0
335,1,2,1,0,0,30,0,0
336,1,2,1,0,0,30,0,0
337,1,2,1,0,0,30,0,0
338,1,2,1,0,0,60,0,0
339,1,2,1,1,1,30,0,0
339,2,2,1,1,1,45,0,0
346,1,2,1,0,0,35,0,0
348,1,2,1,0,0,65,0,0
349,1,2,1,0,0,60,0,0
350,1,2,1,0,0,65,0,0
351,1,2,1,1,0,30,0,0
352,1,2,1,0,0,20,0,0
353,1,2,1,0,0,25,0,0
354,1,2,1,0,0,60,0,0
355,1,2,1,0,0,60,0,0
357,1,2,1,0,0,20,0,0
358,1,2,1,0,0,20,0,0
359,1,2,1,0,0,20,0,0
360,1,2,1,0,0,20,0,0
361,1,2,1,0,0,15,0,0
364,1,2,1,0,0,25,0,0
366,1,2,1,0,0,20,0,0
367,1,2,1,0,0,30,0,0
368,1,2,1,0,0,20,0,0
369,1,2,1,0,0,10,0,0
370,1,2,1,0,0,10,0,0
371,1,2,1,0,0,120,0,0
372,1,2,1,0,0,25,0,0
375,1,2,1,0,0,125,0,0
376,1,2,1,0,0,130,0,0
377,1,2,1,0,0,80,0,0
378,1,2,1,0,0,90,0,0
379,1,2,1,0,0,20,0,0
381,1,2,1,0,0,120,0,0
382,1,2,1,0,0,75,0,0
384,1,2,1,0,0,10,0,0
385,1,2,1,0,0,10,0,0
386,1,2,1,0,0,10,0,0
387,1,2,1,0,0,10,0,0
388,1,2,1,0,0,10,0,0
389,1,2,1,0,0,10,0,0
390,1,2,1,0,0,10,0,0
391,1,2,1,0,0,75,0,0
392,1,2,1,0,0,120,0,0
393,1,2,1,0,0,130,0,0
399,1,2,1,0,0,60,0,0
400,1,2,1,0,0,120,0,0
403,1,2,1,0,0,130,0,0
405,1,2,1,0,0,90,0,0
407,1,2,1,0,0,40,0,0
414,1,2,1,0,0,80,0,0
415,1,2,1,0,0,55,0,0
416,1,2,1,0,0,115,0,0
418,1,2,1,0,0,132,0,0
419,1,2,1,0,0,40,0,0
421,1,2,1,0,0,20,0,0
423,1,2,1,0,0,8,0,0
424,1,3,2,1,1,50,1,1
427,1,2,1,0,0,55,0,0
428,1,2,1,0,0,125,0,0
429,1,2,1,0,0,40,0,0
431,1,2,1,0,0,40,0,0
432,1,2,1,0,0,80,0,0
433,1,2,1,1,1,20,0,0
433,2,2,1,0,0,30,0,0
434,1,2,1,0,0,10,0,0
435,1,2,1,0,0,10,0,0
436,1,2,1,1,1,10,0,0
437,1,2,1,0,0,180,0,0
438,1,2,1,0,0,120,0,0
439,1,2,1,0,0,50,0,0
440,1,2,1,0,0,35,0,0
441,1,2,1,0,0,180,0,0
442,1,2,1,0,0,20,0,0
443,1,2,1,0,0,20,0,0
444,1,2,1,0,0,20,0,0
445,1,2,1,0,0,20,0,0
446,1,2,1,0,0,20,0,0
447,1,2,1,0,0,20,0,0
448,1,2,1,0,0,20,0,0
449,1,2,1,1,1,20,0,0
449,2,2,1,1,1,20,0,0
450,1,2,1,0,0,40,0,0
451,1,2,1,0,0,20,0,0
452,1,2,1,0,0,20,0,0
453,1,2,1,0,0,20,0,0
456,1,2,1,0,0,40,0,0
460,1,2,1,0,0,120,0,0
462,1,2,1,1,0,20,0,0
463,1,2,1,0,0,140,0,0
464,1,2,1,0,0,20,0,0
465,1,2,1,0,0,20,0,0
466,1,2,1,0,0,20,0,0
468,1,2,1,0,0,40,0,0
469,1,2,1,0,0,75,0,0
471,1,2,1,0,0,120,0,0
474,1,2,1,0,0,120,0,0
475,1,2,1,0,0,150,0,0
476,1,2,1,0,0,110,0,0
478,1,2,1,0,0,20,0,0
480,1,2,1,0,0,20,0,0
481,1,2,1,0,0,10,0,0
482,1,2,1,1,0,10,0,0
484,1,2,1,0,0,10,0,0
485,1,2,1,1,0,10,0,0
488,1,2,1,0,0,10,0,0
489,1,2,1,0,0,50,0,0
490,1,2,1,0,0,10,0,0
491,1,2,1,1,1,75,0,0
491,2,2,1,1,1,25,0,0
491,3,3,2,2,2,60,1,1
491,4,2,1,0,0,75,0,0
492,1,2,1,0,0,65,0,0
492,2,2,1,1,1,75,0,0
498,1,2,1,0,0,165,0,0
499,1,2,1,0,0,165,0,0
501,1,2,1,1,0,40,0,0
502,1,2,1,0,0,131,0,0
504,1,2,1,0,0,110,0,0
506,1,2,1,0,0,140,0,0
507,1,2,1,0,0,25,0,0
508,1,2,1,0,0,40,0,0
509,1,2,1,0,0,20,0,0
510,1,2,1,1,0,20,0,0
512,1,2,1,1,0,35,0,0
513,1,2,1,0,0,40,0,0
515,1,2,1,1,1,38,0,0
515,2,2,1,1,1,40,0,0
516,1,2,1,0,0,20,0,0
517,1,2,1,0,0,38,0,0
518,1,2,1,0,0,38,0,0
519,1,2,1,0,0,40,0,0
520,1,2,1,0,0,38,0,0
525,1,1,0,0,0,30,0,0
528,1,2,1,0,0,120,0,0
532,1,2,1,0,0,72,0,0
535,1,2,1,0,0,20,0,0
536,1,2,1,1,1,30,0,0
537,1,2,1,0,0,137,0,0
538,1,2,1,0,0,30,0,0
539,1,2,1,0,0,45,0,0
540,1,2,1,1,1,40,0,0
541,1,2,1,0,0,40,0,0
542,1,2,1,0,0,40,0,0
543,1,2,1,0,0,40,0,0
546,1,2,1,1,0,20,0,0
547,1,1,1,0,0,17,0,0
548,1,2,1,0,0,20,0,0
549,1,2,1,0,0,40,0,0
550,1,3,2,1,1,30,1,1
551,1,2,1,0,0,30,0,0
552,1,2,1,0,0,30,0,0
554,1,2,1,0,0,80,0,0
555,1,2,1,0,0,125,0,0
556,1,2,1,0,0,153,0,0
557,1,2,1,0,0,130,0,0
558,1,2,1,0,0,115,0,0
559,1,2,1,0,0,20,0,0
560,1,2,1,0,0,20,0,0
561,1,2,1,0,0,20,0,0
562,1,2,1,0,0,115,0,0
563,1,2,1,0,0,85,0,0
564,1,2,1,0,0,20,0,0
565,1,2,1,0,0,59,0,0
566,1,2,1,0,0,120,0,0
567,1,2,1,0,0,107,0,0
568,1,2,1,0,0,107,0,0
570,1,2,1,1,0,135,0,0
571,1,2,1,1,0,24,0,0
576,1,2,1,0,0,100,0,0
577,1,2,1,1,0,30,0,0
578,1,2,1,0,0,160,0,0
579,1,2,1,0,0,20,0,0
580,1,2,1,1,0,43,0,0
581,1,2,1,0,0,10,0,0
582,1,2,1,0,0,10,0,0
583,1,2,1,0,0,10,0,0
585,1,2,1,0,0,85,0,0
586,1,2,1,1,0,100,0,0
587,1,4,3,2,2,245,1,2
587,2,2,2,1,0,40,1,1
588,1,2,1,0,0,35,0,0
589,1,2,1,1,0,40,0,0
590,1,2,1,1,0,40,0,0
591,1,3,2,2,1,83,1,1
591,2,2,1,0,0,20,0,0
592,1,2,1,0,0,20,0,0
593,1,2,1,0,0,75,0,0
595,1,2,1,1,0,60,0,0
596,1,2,1,0,0,70,0,0
597,1,2,1,0,0,123,0,0
598,1,2,1,0,0,120,0,0
599,1,2,1,0,0,129,0,0
600,1,2,1,0,0,104,0,0
601,1,2,1,0,0,135,0,0
602,1,2,1,1,0,50,0,0
603,1,2,1,0,0,110,0,0
604,1,2,1,0,0,55,0,0
605,1,3,2,1,0,130,1,1
606,1,2,1,1,0,95,0,0
607,1,2,1,0,0,25,0,0
612,1,2,1,0,0,110,0,0
613,1,2,1,0,0,25,0,0
616,1,2,1,0,0,105,0,0
617,1,2,1,0,0,90,0,0
619,1,2,1,0,0,110,0,0
620,1,2,1,0,0,10,0,0
621,1,2,1,0,0,50,0,0
622,1,2,1,0,0,30,0,0
623,1,2,1,0,0,50,0,0
625,1,2,1,1,0,35,0,0
626,1,2,1,0,0,135,0,0
627,1,2,1,1,0,120,0,0
627,2,2,1,1,1,15,0,0
628,1,2,1,0,0,10,0,0
629,1,2,1,0,0,10,0,0
630,1,2,1,1,0,20,0,0
631,1,2,1,0,0,60,0,0
632,1,2,1,1,0,30,0,0
636,1,2,1,0,0,100,0,0
637,1,2,1,0,0,100,0,0
638,1,2,1,0,0,40,0,0
639,1,2,1,0,0,40,0,0
640,1,2,1,0,0,15,0,0
641,1,2,1,0,0,70,0,0
641,2,2,1,0,0,10,0,0
642,1,2,1,0,0,15,0,0
643,1,2,1,0,0,30,0,0
644,1,2,1,0,0,30,0,0
647,1,2,1,0,0,75,0,0
649,1,2,1,1,0,40,0,0
650,1,2,1,1,0,20,0,0
652,1,2,1,0,0,90,0,0
653,1,2,1,0,0,30,0,0
654,1,2,1,0,0,155,0,0
655,1,2,1,0,0,50,0,0
656,1,2,1,0,0,93,0,0
657,1,2,1,0,0,100,0,0
658,1,2,1,0,0,75,0,0
660,1,2,1,1,1,50,0,0
660,2,2,1,1,0,50,0,0
661,1,2,1,0,0,55,0,0
662,1,2,1,1,0,20,0,0
663,1,2,1,0,0,80,0,0
664,1,2,1,1,0,50,0,0
665,1,2,1,0,0,145,0,0
666,1,2,1,0,0,135,0,0
668,1,2,1,0,0,40,0,0
669,1,2,1,0,0,40,0,0
671,1,2,1,0,0,120,0,0
672,1,2,1,0,0,20,0,0
673,1,2,1,1,0,45,0,0
675,1,2,1,0,0,30,0,0
676,1,2,1,0,0,30,0,0
677,1,2,1,1,1,130,0,0
678,1,4,3,3,1,320,1,2
679,1,2,1,0,0,80,0,0
680,1,2,1,0,0,90,0,0
681,1,2,1,0,0,95,0,0
682,1,3,2,1,0,95,1,1
683,1,2,1,0,0,50,0,0
684,1,2,1,0,0,40,0,0
685,1,2,1,1,0,60,0,0
690,1,2,1,0,0,80,0,0
691,1,2,1,0,0,70,0,0
693,1,2,1,1,1,80,0,0
693,2,2,1,1,1,40,0,0
702,1,2,1,1,0,45,0,0
703,1,2,1,0,0,40,0,0
704,1,2,1,0,0,65,0,0
705,1,2,1,1,0,20,0,0
706,1,2,1,0,0,10,0,0
707,1,2,1,0,0,10,0,0
708,1,2,1,0,0,10,0,0
709,1,3,2,0,0,100,1,1
710,1,2,1,0,0,25,0,0
712,1,2,1,0,0,20,0,0
713,1,2,1,0,0,20,0,0
715,1,3,2,1,1,65,1,1
716,1,2,1,0,0,30,0,0
717,1,2,1,0,0,55,0,0
718,1,2,1,1,1,100,0,0
719,1,2,1,1,1,100,0,0
720,1,2,1,0,0,100,0,0
721,1,2,1,0,0,80,0,0
722,1,2,1,0,0,40,0,0
723,1,2,1,0,0,120,0,0
724,1,2,1,0,0,120,0,0
725,1,2,1,0,0,100,0,0
726,1,2,1,0,0,80,0,0
728,1,2,1,0,0,90,0,0
729,1,2,1,1,0,190,0,0
732,1,2,1,1,1,50,0,0
732,2,2,1,1,1,45,0,0
733,1,2,1,1,0,30,0,0
734,1,3,2,1,1,70,1,1
735,1,2,1,0,0,45,0,0
735,2,2,1,1,0,45,0,0
736,1,2,1,0,0,30,0,0
736,2,1,1,1,0,45,0,0
737,1,2,1,0,0,100,0,0
738,1,2,1,1,1,100,0,0
739,1,2,1,0,0,50,0,0
740,1,2,1,0,0,100,0,0
741,1,2,1,0,0,60,0,0
742,1,2,1,0,0,50,0,0
744,1,2,1,0,0,135,0,0
745,1,2,1,0,0,135,0,0
746,1,3,2,1,1,30,1,1
748,1,2,1,0,0,20,0,0
749,1,2,1,0,0,20,0,0
750,1,2,1,0,0,165,0,0
751,1,2,1,0,0,20,0,0
752,1,2,1,0,0,50,0,0
753,1,2,1,1,0,20,0,0
754,1,2,1,0,0,130,0,0
755,1,2,1,0,0,45,0,0
756,1,2,1,1,0,40,0,0
757,1,2,1,0,0,70,0,0
758,1,2,1,0,0,115,0,0
759,1,3,2,2,1,70,1,1
760,1,2,1,0,0,60,0,0
761,1,2,1,0,0,50,0,0
764,1,2,1,0,0,80,0,0
765,1,2,1,0,0,60,0,0
766,1,2,1,1,0,70,0,0
767,1,2,1,0,0,120,0,0
768,1,2,1,0,0,120,0,0
769,1,2,1,0,0,60,0,0
772,1,2,1,0,0,60,0,0
775,1,2,1,0,0,60,0,0
777,1,2,1,0,0,100,0,0
778,1,2,1,0,0,155,0,0
779,1,2,1,0,0,80,0,0
780,1,2,1,0,0,30,0,0
781,1,2,1,0,0,50,0,0
782,1,2,1,0,0,80,0,0
783,1,2,1,0,0,25,0,0
784,1,2,1,1,1,30,0,0
785,1,2,1,0,0,20,0,0
786,1,2,1,0,0,50,0,0
787,1,2,1,0,0,25,0,0
788,1,2,2,1,0,60,1,1
789,1,2,1,0,0,70,0,0
790,1,2,1,0,0,110,0,0
791,1,2,1,0,0,60,0,0
792,1,2,1,0,0,110,0,0
795,1,2,1,0,0,110,0,0
796,1,2,1,1,1,30,0,0
796,2,2,1,1,1,30,0,0
797,1,2,1,0,0,30,0,0
800,1,2,1,0,0,65,0,0
802,1,2,1,0,0,175,0,0
803,1,3,2,2,0,110,1,1
804,1,2,1,0,0,40,0,0
805,1,2,1,0,0,64,0,0
807,1,2,1,0,0,60,0,0
808,1,2,1,0,0,60,0,0
811,1,3,2,0,0,105,1,1
812,1,2,1,0,0,246,0,0
813,1,2,1,0,0,10,0,0
814,1,2,1,0,0,20,0,0
814,2,2,1,0,0,20,0,0
817,1,2,1,1,0,50,0,0
819,1,2,1,0,0,10,0,0
820,1,2,1,0,0,10,0,0
823,1,2,1,0,0,50,0,0
825,1,2,1,0,0,120,0,0
826,1,2,1,0,0,75,0,0
827,1,2,1,0,0,50,0,0
828,1,2,1,0,0,30,0,0
829,1,2,1,0,0,20,0,0
831,1,2,1,0,0,100,0,0
832,1,2,1,0,0,70,0,0
833,1,2,1,0,0,60,0,0
834,1,2,1,0,0,35,0,0
835,1,2,1,0,0,30,0,0
836,1,2,1,1,0,60,0,0
837,1,2,1,0,0,225,0,0
838,1,2,1,0,0,65,0,0
839,1,3,2,1,1,120,1,1
840,1,2,1,1,1,90,0,0
842,1,2,1,0,0,80,0,0
844,1,2,1,0,0,80,0,0
845,1,2,1,0,0,60,0,0
846,1,2,1,0,0,60,0,0
848,1,2,1,1,1,15,0,0
848,2,2,1,1,1,20,0,0
849,1,2,1,0,0,20,0,0
850,1,2,1,0,0,20,0,0
851,1,2,1,0,0,20,0,0
852,1,2,1,0,0,60,0,0
854,1,2,1,0,0,70,0,0
855,1,2,1,0,0,30,0,0
858,1,2,1,0,0,20,0,0
859,1,1,1,0,0,10,0,0
863,1,2,1,0,0,20,0,0
864,1,2,1,0,0,30,0,0
868,1,2,1,0,0,130,0,0
872,1,2,1,0,0,75,0,0
873,1,2,1,0,0,20,0,0
878,1,2,1,0,0,30,0,0
879,1,2,1,0,0,40,0,0
880,1,2,1,0,0,60,0,0
881,1,2,1,0,0,30,0,0
882,1,2,1,0,0,20,0,0
883,1,2,1,0,0,20,0,0
884,1,2,1,0,0,20,0,0
885,1,2,1,0,0,20,0,0
886,1,2,1,0,0,20,0,0
887,1,2,1,1,1,40,0,0
888,1,1,1,0,0,35,0,0
889,1,1,1,0,0,55,0,0
890,1,2,1,0,0,80,0,0
891,1,2,1,0,0,60,0,0
892,1,2,1,0,0,40,0,0
893,1,2,1,1,0,60,0,0
894,1,2,1,0,0,75,0,0
897,1,2,1,0,0,30,0,0
898,1,2,1,0,0,20,0,0
900,1,2,1,0,0,40,0,0
901,1,2,1,0,0,80,0,0
905,1,2,1,0,0,40,0,0
906,1,2,1,0,0,50,0,0
907,1,2,1,0,0,20,0,0
908,1,2,1,0,0,28,0,0
911,1,2,1,0,0,30,0,0
913,1,2,1,0,0,20,0,0
916,1,2,1,0,0,68,0,0
917,1,2,1,1,1,20,0,0
917,2,3,2,2,1,46,1,1
918,1,2,1,0,0,38,0,0
919,1,3,2,1,0,46,1,1
921,1,2,1,1,1,25,0,0
922,1,2,1,1,1,45,0,0
923,1,2,1,0,0,54,0,0
925,1,2,1,0,0,34,0,0
928,1,2,1,0,0,4,0,0
930,1,2,1,0,0,30,0,0
932,1,2,1,0,0,113,0,0
934,1,2,1,0,0,111,0,0
935,1,2,1,0,0,25,0,0
936,1,2,1,0,0,20,0,0
937,1,2,1,1,0,40,0,0
938,1,2,1,0,0,110,0,0
939,1,2,1,0,0,90,0,0
940,1,1,1,0,0,43,0,0
942,1,2,1,1,0,30,0,0
943,1,2,1,1,0,30,0,0
946,1,2,1,0,0,60,0,0
947,1,3,2,0,0,90,1,1
948,1,2,1,0,0,60,0,0
949,1,2,1,1,1,42,0,0
950,1,2,1,0,0,48,0,0
951,1,2,1,1,0,30,0,0
951,2,1,1,0,0,20,0,0
952,1,2,1,0,0,30,0,0
953,1,3,2,1,1,110,1,1
954,1,3,2,2,0,290,1,1
955,1,2,1,0,0,55,0,0
956,1,2,1,0,0,108,0,0
957,1,2,1,1,1,70,0,0
958,1,1,1,0,0,36,0,0
959,1,2,1,0,0,58,0,0
961,1,2,1,1,0,20,0,0
963,1,2,1,1,0,30,0,0
964,1,2,1,0,0,110,0,0
965,1,2,1,0,0,120,0,0
966,1,2,1,0,0,120,0,0
968,1,2,1,0,0,120,0,0
969,1,2,1,1,0,30,0,0
970,1,2,1,0,0,20,0,0
971,1,2,1,0,0,20,0,0
974,1,2,1,1,0,220,0,0
975,1,2,1,0,0,50,0,0
976,1,2,1,0,0,70,0,0
978,1,2,1,0,0,86,0,0
980,1,2,1,0,0,195,0,0
981,1,2,1,1,1,10,0,0
981,2,3,2,1,1,100,1,1
982,1,2,1,0,0,10,0,0
983,1,2,1,0,0,150,0,0
984,1,2,1,1,1,40,0,0
984,2,2,1,0,0,150,0,0
985,1,2,1,0,0,60,0,0
986,1,2,1,0,0,120,0,0
986,2,2,1,1,0,20,0,0
986,3,2,1,0,0,30,0,0
987,1,2,1,0,0,80,0,0
988,1,2,1,1,0,27,0,0
991,1,2,1,0,0,60,0,0
992,1,2,1,1,0,60,0,0
994,1,2,1,1,0,60,0,0
995,1,2,1,1,0,34,0,0
996,1,2,1,0,0,83,0,0
997,1,2,1,0,0,40,0,0
998,1,2,1,1,0,20,0,0
999,1,2,1,1,0,60,0,0
1000,1,2,1,0,0,20,0,0
1002,1,4,3,2,2,120,1,2
1004,1,7,6,4,4,165,1,5
1005,1,3,2,1,1,105,1,1
1007,1,2,1,0,0,115,0,0
1008,1,2,1,0,0,160,0,0
1009,1,2,1,0,0,40,0,0
1010,1,2,1,0,0,120,0,0
1011,1,2,1,0,0,60,0,0
1012,1,2,1,0,0,60,0,0
1013,1,2,1,0,0,60,0,0
