mujer,desventaja,hay_menores12,edad,trabaja,adultos_65mas,jefa_mujer,niv_f,ent_f,eta,se_eta,fit,ci_l,ci_u
0,0,0,40,1,0,0,8,9,-2.26357162167831,0.0353974155570306,0.0941852163586624,0.0884306309984844,0.100273086215282
1,0,0,40,1,0,0,8,9,-2.20424689938283,0.0373226576463349,0.0993697638940661,0.0930122310081556,0.106111005290702
0,1,0,40,1,0,0,8,9,-2.5541946651465,0.0543599283003772,0.0721451889508528,0.0653302448677885,0.0796104848207138
1,1,0,40,1,0,0,8,9,-2.1903013425607,0.0502757874859656,0.100624818941396,0.0920514482289127,0.10990003372526
0,0,1,40,1,0,0,8,9,-2.08172155110195,0.0426823394613853,0.110886124581692,0.102902981379785,0.1194061604382
1,0,1,40,1,0,0,8,9,-1.65791740651745,0.0382616334941251,0.16004175847009,0.150215886530647,0.170381490566869
0,1,1,40,1,0,0,8,9,-2.37234459457013,0.0578045834753983,0.0853060153359947,0.0768710566139529,0.0945717104150219
1,1,1,40,1,0,0,8,9,-1.64397184969531,0.050891531746891,0.161925336619937,0.148841368536037,0.175921737639446
