distrito,pct_chain_total,pct_chain_mujer,pct_chain_hombre,pct_desventaja,tiempo_med_dist,n_viajeros,brecha_genero
17,10.8249808704195,9.42446043165468,12.0805489367039,5.12767223707454,38.78209964147,697,-2.6560885050492
18,6.56266310966769,7.18568440622821,5.94187796688665,50.2801136693151,45.2304336926548,851,1.24380643934156
19,3.822635613135,4.32230029585799,3.25397869262133,60.5211678293286,51.6227636735389,730,1.06832160323665
20,11.7980600729984,11.9812726111939,11.5959719255417,43.6762621245438,46.4290637217363,723,0.385300685652217
21,6.03429541244528,4.42113458032001,7.68088665830197,21.4889631691693,44.5507333891735,600,-3.25975207798196
43,10.647456904074,11.4040955885086,9.82200778462536,0,53.9074959162684,734,1.5820878038832
44,11.0426934816792,13.2932597556169,8.4390229999715,0,53.6407403878222,702,4.85423675564537
45,6.36354578365273,7.35916639531097,5.32736884912566,0,53.5401959405616,760,2.03179754618531
46,7.37850838983372,7.41147908936833,7.33800399538561,0,47.691970991971,791,0.0734750939827187
47,7.83233177935272,8.37949577107034,7.28816747735885,0,45.4537175424962,667,1.09132829371149
48,5.79890608634935,6.70482060312569,4.78271604938272,0,44.7693857667951,879,1.92210455374297
49,9.7853728003255,10.9004026666221,8.40339614827087,0,49.1058077566422,829,2.49700651835125
50,12.5178206161284,13.5854598861759,11.4222919937206,0,48.7935723833324,622,2.16316789245531
51,8.58264081255771,9.91827637444279,7.26221079691517,0,50.7567554549396,635,2.65606557752763
58,5.27554126103568,6.5743798154263,3.92424576084563,6.66997647160403,42.8915521880754,572,2.65013405458067
59,8.29905585984954,8.75044860562815,7.83896025649302,41.0679653033823,49.2033156194276,823,0.911488349135135
60,5.89891595100662,6.21684504420661,5.57553956834532,100,67.7675598086125,913,0.641305475861284
61,8.52443121603644,10.6120808964686,6.39407744874715,67.8256555953911,62.6075230321256,965,4.21800344772144
22,6.94089272945426,7.53882398192221,6.33295040696111,60.3725563864212,65.0910521783031,821,1.20587357496109
23,8.11460308135964,9.37507833454491,6.67828272729869,50.4752877092735,65.5827624245239,759,2.69679560724621
24,5.01251087902524,5.92698989132497,4.09149220733139,74.079362489121,63.308740003956,760,1.83549768399358
25,7.20194756892005,7.55290837663161,6.80038666022233,0,51.8736685991641,779,0.752521716409277
